ForestSize,DT-Training%,DT-DomTesting%
1,0.99734,0.6641
2,0.99734,0.9015
3,0.99734,0.8509
4,0.99734,0.7439
5,0.99734,0.7455
6,0.99734,0.7172
7,0.99734,0.7905
8,0.99734,0.7898
9,0.99734,0.6624
10,0.99734,0.6513
20,0.99734,0.7044
30,0.99734,0.753
40,0.99734,0.7264
50,0.99734,0.6453
60,0.99734,0.8081
70,0.99734,0.9252
80,0.99734,0.8478
90,0.99734,0.9206
100,0.99734,0.9249
200,0.99734,0.9209
300,0.99734,0.9196
400,0.99734,0.9185
500,0.99734,0.9278
600,0.99734,0.9271
700,0.99734,0.9227
800,0.99734,0.9212
900,0.99734,0.9225
1000,0.99734,0.9288
