ForestSize,DT-Training%,DT-DomTesting%
1,0.99734,0.6035
2,0.99734,0.8783
3,0.99734,0.778
4,0.99734,0.8115
5,0.99734,0.763
6,0.99734,0.7088
7,0.99734,0.8607
8,0.99734,0.673
9,0.99734,0.7894
10,0.99734,0.5957
20,0.99734,0.6047
30,0.99734,0.7184
40,0.99734,0.6001
50,0.99734,0.6644
60,0.99734,0.846
70,0.99734,0.7809
80,0.99734,0.9168
90,0.99734,0.6646
100,0.99734,0.8446
200,0.99734,0.9146
300,0.99734,0.8778
400,0.99734,0.8487
500,0.99734,0.9234
600,0.99734,0.9209
700,0.99734,0.927
800,0.99734,0.9243
900,0.99734,0.9266
1000,0.99734,0.9224
