ForestSize,DT-Training%,DT-DomTesting%
1,0.99996,0.808
2,0.99996,0.8813
3,0.99996,0.8799
4,0.99996,0.884
5,0.99996,0.8917
6,0.99996,0.9344
7,0.99996,0.9195
8,0.99996,0.94
9,0.99996,0.951
10,0.99996,0.92
20,0.99996,0.9605
30,0.99996,0.9498
40,0.99996,0.9515
50,0.99996,0.9552
60,0.99996,0.9673
70,0.99996,0.9622
80,0.99996,0.9652
90,0.99996,0.9634
100,0.99996,0.9614
200,0.99996,0.9633
300,0.99996,0.9631
400,0.99996,0.9655
500,0.99996,0.9631
600,0.99996,0.9625
700,0.99996,0.9637
800,0.99996,0.9635
900,0.99996,0.9632
1000,0.99996,0.9685
