ForestSize,DT-Training%,DT-DomTesting%
1,0.99996,0.8422
2,0.99996,0.8058
3,0.99996,0.8474
4,0.99996,0.8704
5,0.99996,0.9251
6,0.99996,0.9025
7,0.99996,0.9017
8,0.99996,0.9261
9,0.99996,0.9396
10,0.99996,0.9166
20,0.99996,0.946
30,0.99996,0.9436
40,0.99996,0.9656
50,0.99996,0.9413
60,0.99996,0.96
70,0.99996,0.9364
80,0.99996,0.9621
90,0.99996,0.9556
100,0.99996,0.9584
200,0.99996,0.9626
300,0.99996,0.963
400,0.99996,0.9641
500,0.99996,0.966
600,0.99996,0.9598
700,0.99996,0.9629
800,0.99996,0.9651
900,0.99996,0.9668
1000,0.99996,0.9677
