SampleSize,ForestSize,DT-Training%,DT-Testing%
4.7790e+05,1,0.82414,0.82398
4.7790e+05,2,0.83899,0.83887
4.7790e+05,3,0.90058,0.90066
4.7790e+05,4,0.88551,0.88479
4.7790e+05,5,0.92787,0.92724
4.7790e+05,6,0.91337,0.91384
4.7790e+05,7,0.9315,0.93135
4.7790e+05,8,0.93834,0.9379
4.7790e+05,9,0.94034,0.94035
4.7790e+05,10,0.94449,0.94441
4.7790e+05,20,0.96398,0.96376
4.7790e+05,30,0.97054,0.97045
4.7790e+05,40,0.97563,0.9758
4.7790e+05,50,0.97748,0.97753
4.7790e+05,60,0.9807,0.98061
4.7790e+05,70,0.98093,0.98081
4.7790e+05,80,0.98085,0.98087
4.7790e+05,90,0.9832,0.98317
4.7790e+05,100,0.98547,0.98545
4.7790e+05,200,0.98657,0.98656
4.7790e+05,300,0.98885,0.9888
4.7790e+05,400,0.98922,0.98924
4.7790e+05,500,0.98956,0.98958
4.7790e+05,600,0.98998,0.99
4.7790e+05,700,0.98991,0.98989
4.7790e+05,800,0.99025,0.99031
4.7790e+05,900,0.99015,0.98999
4.7790e+05,1000,0.99042,0.99045
