SampleSize,ForestSize,RF-Training%,RF-Testing%
4.7790e+05,1,0.99869,0.99789
4.7790e+05,2,0.99951,0.9988
4.7790e+05,3,0.99985,0.99954
4.7790e+05,4,0.99992,0.99969
4.7790e+05,5,0.99996,0.99977
4.7790e+05,6,0.99997,0.99982
4.7790e+05,7,0.99998,0.99984
4.7790e+05,8,0.99998,0.99986
4.7790e+05,9,0.99998,0.99987
4.7790e+05,10,0.99999,0.99988
4.7790e+05,20,1,0.99992
4.7790e+05,30,1,0.99992
4.7790e+05,40,1,0.99994
4.7790e+05,50,1,0.99994
4.7790e+05,60,1,0.99994
4.7790e+05,70,1,0.99994
4.7790e+05,80,1,0.99995
4.7790e+05,90,1,0.99994
4.7790e+05,100,1,0.99995
4.7790e+05,200,1,0.99996
4.7790e+05,300,1,0.99995
4.7790e+05,400,1,0.99995
4.7790e+05,500,1,0.99996
4.7790e+05,600,1,0.99994
4.7790e+05,700,1,0.99995
4.7790e+05,800,1,0.99995
4.7790e+05,900,1,0.99994
4.7790e+05,1000,1,0.99996
