ForestSize,DT-Training%,DT-DomTesting%
1,0.99886,0.4548
2,0.99886,0.4919
3,0.99886,0.4421
4,0.99886,0.5252
5,0.99886,0.5879
6,0.99886,0.5906
7,0.99886,0.5946
8,0.99886,0.513
9,0.99886,0.5589
10,0.99886,0.6233
20,0.99886,0.6489
30,0.99886,0.6536
40,0.99886,0.6031
50,0.99886,0.6673
60,0.99886,0.6331
70,0.99886,0.6912
80,0.99886,0.5208
90,0.99886,0.6425
100,0.99886,0.6289
200,0.99886,0.6797
300,0.99886,0.5823
400,0.99886,0.7006
500,0.99886,0.6502
600,0.99886,0.659
700,0.99886,0.6823
800,0.99886,0.5442
900,0.99886,0.559
1000,0.99886,0.6534
