ForestSize,DT-Training%,DT-DomTesting%
1,0.99886,0.4565
2,0.99886,0.4065
3,0.99886,0.4584
4,0.99886,0.5521
5,0.99886,0.5384
6,0.99886,0.5397
7,0.99886,0.5201
8,0.99886,0.5242
9,0.99886,0.5101
10,0.99886,0.5236
20,0.99886,0.5969
30,0.99886,0.6498
40,0.99886,0.5872
50,0.99886,0.5638
60,0.99886,0.6988
70,0.99886,0.5489
80,0.99886,0.7121
90,0.99886,0.6576
100,0.99886,0.544
200,0.99886,0.6358
300,0.99886,0.6179
400,0.99886,0.6451
500,0.99886,0.5757
600,0.99886,0.4708
700,0.99886,0.6094
800,0.99886,0.5577
900,0.99886,0.5761
1000,0.99886,0.6577
