ForestSize,DT-Training%,DT-DomTesting%
1,0.9999,0.2631
2,0.9999,0.3045
3,0.9999,0.2867
4,0.9999,0.5038
5,0.9999,0.5443
6,0.9999,0.4683
7,0.9999,0.4312
8,0.9999,0.4001
9,0.9999,0.3786
10,0.9999,0.4971
20,0.9999,0.589
30,0.9999,0.6987
40,0.9999,0.4942
50,0.9999,0.6045
60,0.9999,0.6037
70,0.9999,0.4672
80,0.9999,0.4553
90,0.9999,0.4787
100,0.9999,0.5309
200,0.9999,0.7305
300,0.9999,0.5887
400,0.9999,0.704
500,0.9999,0.5428
600,0.9999,0.5763
700,0.9999,0.575
800,0.9999,0.4826
900,0.9999,0.615
1000,0.9999,0.5044
