ForestSize,DT-Training%,DT-DomTesting%
1,0.9999,0.3045
2,0.9999,0.3633
3,0.9999,0.4316
4,0.9999,0.3667
5,0.9999,0.2349
6,0.9999,0.3047
7,0.9999,0.2774
8,0.9999,0.572
9,0.9999,0.4412
10,0.9999,0.4488
20,0.9999,0.4732
30,0.9999,0.6044
40,0.9999,0.5554
50,0.9999,0.5229
60,0.9999,0.5717
70,0.9999,0.7103
80,0.9999,0.5636
90,0.9999,0.4547
100,0.9999,0.6387
200,0.9999,0.3501
300,0.9999,0.6818
400,0.9999,0.6329
500,0.9999,0.6057
600,0.9999,0.628
700,0.9999,0.6648
800,0.9999,0.7467
900,0.9999,0.6272
1000,0.9999,0.5875
