ForestSize,DT-Training%,DT-DomTesting%
1,0.99309,0.8043
2,0.99309,0.8053
3,0.99309,0.8049
4,0.99309,0.7992
5,0.99309,0.8016
6,0.99309,0.7906
7,0.99309,0.7919
8,0.99309,0.7985
9,0.99309,0.792
10,0.99309,0.7965
20,0.99309,0.8043
30,0.99309,0.7982
40,0.99309,0.8027
50,0.99309,0.8058
60,0.99309,0.7984
70,0.99309,0.7943
80,0.99309,0.7883
90,0.99309,0.8038
100,0.99309,0.8022
200,0.99309,0.794
300,0.99309,0.7962
400,0.99309,0.8077
500,0.99309,0.8069
600,0.99309,0.801
700,0.99309,0.807
800,0.99309,0.7974
900,0.99309,0.8051
1000,0.99309,0.8099
