ForestSize,RF-Training%,RF-DomTesting%
1,0.82659,0.8495
2,0.81647,0.1992
3,0.91329,0.9366
4,0.88584,0.9142
5,0.93064,0.8458
6,0.93642,0.7978
7,0.92919,0.8183
8,0.93064,0.9404
9,0.93353,0.8944
10,0.93353,0.8084
20,0.94798,0.9172
30,0.94364,0.8682
40,0.96098,0.9667
50,0.96098,0.9741
60,0.96098,0.9208
70,0.96098,0.9113
80,0.9711,0.9819
90,0.95087,0.9797
100,0.96098,0.9603
200,0.95954,0.9782
300,0.95809,0.9925
400,0.96098,0.9853
500,0.95954,0.9643
600,0.9552,0.9745
700,0.95809,0.9814
800,0.96098,0.9472
900,0.9552,0.979
1000,0.95954,0.9643
