ForestSize,RF-Training%,RF-DomTesting%
1,0.81647,0.9609
2,0.78902,0.3383
3,0.8685,0.9653
4,0.87139,0.6776
5,0.93208,0.9934
6,0.8815,0.933
7,0.93931,0.9578
8,0.92197,0.871
9,0.93642,0.8471
10,0.92341,0.6659
20,0.94075,0.8856
30,0.96532,0.9636
40,0.9552,0.9534
50,0.95376,0.9904
60,0.95231,0.9247
70,0.94942,0.9337
80,0.95087,0.9637
90,0.96243,0.9811
100,0.96387,0.9846
200,0.96243,0.9901
300,0.95954,0.9802
400,0.96387,0.9721
500,0.96098,0.9848
600,0.95809,0.9785
700,0.96098,0.9811
800,0.96243,0.9691
900,0.95809,0.9766
1000,0.95954,0.9872
