SampleSize,ForestSize,DT-Training%,DT-Testing%
5914,1,0.78236,0.78051
5914,2,0.7777,0.77111
5914,3,0.85079,0.85142
5914,4,0.86632,0.86839
5914,5,0.91348,0.91002
5914,6,0.89275,0.88978
5914,7,0.92125,0.91736
5914,8,0.90832,0.90963
5914,9,0.93783,0.9369
5914,10,0.92443,0.91965
5914,20,0.97269,0.96875
5914,30,0.97705,0.97687
5914,40,0.98081,0.98031
5914,50,0.98522,0.98433
5914,60,0.99011,0.98733
5914,70,0.98857,0.98552
5914,80,0.98901,0.98792
5914,90,0.98913,0.98848
5914,100,0.98906,0.98788
5914,200,0.99199,0.99132
5914,300,0.99295,0.99179
5914,400,0.99308,0.99191
5914,500,0.99373,0.99274
5914,600,0.99378,0.99349
5914,700,0.99371,0.99321
5914,800,0.99264,0.99282
5914,900,0.99295,0.99191
5914,1000,0.9931,0.99333
