ForestSize,DT-Training%,DT-DomTesting%
1,0.9999,0.8579
2,0.9999,0.8775
3,0.9999,0.8641
4,0.9999,0.8735
5,0.9999,0.8786
6,0.9999,0.8828
7,0.9999,0.877
8,0.9999,0.8868
9,0.9999,0.8634
10,0.9999,0.8712
20,0.9999,0.8743
30,0.9999,0.8679
40,0.9999,0.8722
50,0.9999,0.8776
60,0.9999,0.8777
70,0.9999,0.8638
80,0.9999,0.8756
90,0.9999,0.87
100,0.9999,0.8691
200,0.9999,0.8683
300,0.9999,0.8671
400,0.9999,0.8677
500,0.9999,0.8683
600,0.9999,0.8697
700,0.9999,0.8694
800,0.9999,0.8729
900,0.9999,0.8712
1000,0.9999,0.8701
