ForestSize,DT-Training%,DT-DomTesting%
1,0.9999,0.8665
2,0.9999,0.8557
3,0.9999,0.8571
4,0.9999,0.85
5,0.9999,0.8761
6,0.9999,0.8549
7,0.9999,0.869
8,0.9999,0.8898
9,0.9999,0.8721
10,0.9999,0.8726
20,0.9999,0.8705
30,0.9999,0.8823
40,0.9999,0.8768
50,0.9999,0.8746
60,0.9999,0.869
70,0.9999,0.8712
80,0.9999,0.8684
90,0.9999,0.8743
100,0.9999,0.8729
200,0.9999,0.8714
300,0.9999,0.8681
400,0.9999,0.8735
500,0.9999,0.873
600,0.9999,0.8681
700,0.9999,0.8657
800,0.9999,0.8725
900,0.9999,0.8761
1000,0.9999,0.8688
