SampleSize,ForestSize,RF-Training%,RF-Testing%
3.8364e+05,1,0.9964,0.99303
3.8364e+05,2,0.99817,0.9952
3.8364e+05,3,0.99961,0.99862
3.8364e+05,4,0.99981,0.99878
3.8364e+05,5,0.99988,0.99922
3.8364e+05,6,0.99992,0.99935
3.8364e+05,7,0.99996,0.99945
3.8364e+05,8,0.99997,0.99955
3.8364e+05,9,0.99997,0.99956
3.8364e+05,10,0.99998,0.99962
3.8364e+05,20,1,0.99978
3.8364e+05,30,1,0.99981
3.8364e+05,40,1,0.99984
3.8364e+05,50,1,0.99987
3.8364e+05,60,1,0.99987
3.8364e+05,70,1,0.99987
3.8364e+05,80,1,0.99987
3.8364e+05,90,1,0.99988
3.8364e+05,100,1,0.99988
3.8364e+05,200,1,0.99987
3.8364e+05,300,1,0.99989
3.8364e+05,400,1,0.99989
3.8364e+05,500,1,0.99989
3.8364e+05,600,1,0.99989
3.8364e+05,700,1,0.99988
3.8364e+05,800,1,0.99989
3.8364e+05,900,1,0.9999
3.8364e+05,1000,1,0.99989
