ForestSize,DT-Training%,DT-DomTesting%
1,0.99969,0.7288
2,0.99969,0.7232
3,0.99969,0.6811
4,0.99969,0.6766
5,0.99969,0.7793
6,0.99969,0.669
7,0.99969,0.7328
8,0.99969,0.726
9,0.99969,0.7784
10,0.99969,0.7776
20,0.99969,0.7766
30,0.99969,0.7797
40,0.99969,0.7826
50,0.99969,0.7855
60,0.99969,0.7787
70,0.99969,0.7844
80,0.99969,0.7754
90,0.99969,0.783
100,0.99969,0.7779
200,0.99969,0.777
300,0.99969,0.7898
400,0.99969,0.7829
500,0.99969,0.7809
600,0.99969,0.7836
700,0.99969,0.7872
800,0.99969,0.7778
900,0.99969,0.7779
1000,0.99969,0.7829
