ForestSize,DT-Training%,DT-DomTesting%
1,0.99969,0.7787
2,0.99969,0.7811
3,0.99969,0.7264
4,0.99969,0.735
5,0.99969,0.73
6,0.99969,0.7798
7,0.99969,0.783
8,0.99969,0.7742
9,0.99969,0.7281
10,0.99969,0.7833
20,0.99969,0.777
30,0.99969,0.78
40,0.99969,0.7858
50,0.99969,0.7819
60,0.99969,0.7732
70,0.99969,0.779
80,0.99969,0.781
90,0.99969,0.7752
100,0.99969,0.7798
200,0.99969,0.7751
300,0.99969,0.7813
400,0.99969,0.7768
500,0.99969,0.7814
600,0.99969,0.7708
700,0.99969,0.7824
800,0.99969,0.7839
900,0.99969,0.7879
1000,0.99969,0.7803
