SampleSize,ForestSize,DT-Training%,DT-Testing%
2237,1,0.84837,0.84713
2237,2,0.84265,0.8439
2237,3,0.9122,0.90991
2237,4,0.91869,0.91929
2237,5,0.93393,0.92972
2237,6,0.93107,0.92951
2237,7,0.9367,0.9342
2237,8,0.9321,0.9292
2237,9,0.93759,0.93264
2237,10,0.94063,0.93931
2237,20,0.94059,0.93618
2237,30,0.94546,0.93921
2237,40,0.94806,0.94567
2237,50,0.94962,0.93754
2237,60,0.95016,0.94327
2237,70,0.94975,0.94515
2237,80,0.95034,0.9438
2237,90,0.94989,0.94786
2237,100,0.95194,0.95078
2237,200,0.95056,0.9464
2237,300,0.95449,0.94984
2237,400,0.95498,0.94953
2237,500,0.95498,0.95016
2237,600,0.95445,0.95235
2237,700,0.95579,0.95172
2237,800,0.95619,0.95172
2237,900,0.95677,0.94651
2237,1000,0.95601,0.94755
