ForestSize,DT-Training%,DT-DomTesting%
1,0.99997,0.4702
2,0.99997,0.519
3,0.99997,0.5297
4,0.99997,0.5731
5,0.99997,0.562
6,0.99997,0.5646
7,0.99997,0.6027
8,0.99997,0.5991
9,0.99997,0.5887
10,0.99997,0.5531
20,0.99997,0.5909
30,0.99997,0.5556
40,0.99997,0.5584
50,0.99997,0.5591
60,0.99997,0.5925
70,0.99997,0.5978
80,0.99997,0.558
90,0.99997,0.559
100,0.99997,0.5589
200,0.99997,0.563
300,0.99997,0.5608
400,0.99997,0.5591
500,0.99997,0.5642
600,0.99997,0.6255
700,0.99997,0.5942
800,0.99997,0.5622
900,0.99997,0.5564
1000,0.99997,0.567
