ForestSize,DT-Training%,DT-DomTesting%
1,0.99997,0.5586
2,0.99997,0.5581
3,0.99997,0.523
4,0.99997,0.5605
5,0.99997,0.5608
6,0.99997,0.5018
7,0.99997,0.535
8,0.99997,0.593
9,0.99997,0.6299
10,0.99997,0.6004
20,0.99997,0.5605
30,0.99997,0.5879
40,0.99997,0.5613
50,0.99997,0.5425
60,0.99997,0.5886
70,0.99997,0.5582
80,0.99997,0.5556
90,0.99997,0.5837
100,0.99997,0.6309
200,0.99997,0.5644
300,0.99997,0.5587
400,0.99997,0.5897
500,0.99997,0.5956
600,0.99997,0.5947
700,0.99997,0.5674
800,0.99997,0.5954
900,0.99997,0.5614
1000,0.99997,0.5625
