SampleSize,ForestSize,RF-Training%,RF-Testing%
1.4548e+05,1,0.99721,0.99321
1.4548e+05,2,0.99754,0.99331
1.4548e+05,3,0.99993,0.99963
1.4548e+05,4,0.99996,0.99967
1.4548e+05,5,1,0.99996
1.4548e+05,6,1,0.99998
1.4548e+05,7,1,0.99999
1.4548e+05,8,1,1
1.4548e+05,9,1,1
1.4548e+05,10,1,1
1.4548e+05,20,1,1
1.4548e+05,30,1,1
1.4548e+05,40,1,1
1.4548e+05,50,1,1
1.4548e+05,60,1,1
1.4548e+05,70,1,1
1.4548e+05,80,1,1
1.4548e+05,90,1,1
1.4548e+05,100,1,1
1.4548e+05,200,1,1
1.4548e+05,300,1,1
1.4548e+05,400,1,1
1.4548e+05,500,1,1
1.4548e+05,600,1,1
1.4548e+05,700,1,1
1.4548e+05,800,1,1
1.4548e+05,900,1,1
1.4548e+05,1000,1,1
