ForestSize,DT-Training%,DT-DomTesting%
1,0.99376,0.5723
2,0.99376,0.7166
3,0.99376,0.6534
4,0.99376,0.6657
5,0.99376,0.685
6,0.99376,0.7698
7,0.99376,0.7547
8,0.99376,0.8038
9,0.99376,0.7966
10,0.99376,0.8321
20,0.99376,0.8238
30,0.99376,0.8201
40,0.99376,0.8665
50,0.99376,0.7794
60,0.99376,0.8155
70,0.99376,0.8296
80,0.99376,0.8396
90,0.99376,0.8541
100,0.99376,0.847
200,0.99376,0.8499
300,0.99376,0.8612
400,0.99376,0.8521
500,0.99376,0.853
600,0.99376,0.8546
700,0.99376,0.8575
800,0.99376,0.8606
900,0.99376,0.8574
1000,0.99376,0.8624
