ForestSize,DT-Training%,DT-DomTesting%
1,0.99376,0.5873
2,0.99376,0.613
3,0.99376,0.7186
4,0.99376,0.6959
5,0.99376,0.7079
6,0.99376,0.8231
7,0.99376,0.7456
8,0.99376,0.8292
9,0.99376,0.7396
10,0.99376,0.7372
20,0.99376,0.8298
30,0.99376,0.8566
40,0.99376,0.8565
50,0.99376,0.8212
60,0.99376,0.8316
70,0.99376,0.8473
80,0.99376,0.8543
90,0.99376,0.8475
100,0.99376,0.8457
200,0.99376,0.8552
300,0.99376,0.8533
400,0.99376,0.859
500,0.99376,0.8509
600,0.99376,0.8571
700,0.99376,0.8516
800,0.99376,0.8561
900,0.99376,0.8604
1000,0.99376,0.8528
