SampleSize,ForestSize,RF-Training%,RF-Testing%
7225,1,0.99819,0.99496
7225,2,0.99833,0.99619
7225,3,0.99983,0.9991
7225,4,0.99985,0.99913
7225,5,0.99993,0.99942
7225,6,0.99997,0.99952
7225,7,1,0.99968
7225,8,1,0.99984
7225,9,1,0.99987
7225,10,0.99997,0.99981
7225,20,1,0.99994
7225,30,1,1
7225,40,1,0.99994
7225,50,1,0.99997
7225,60,1,0.99997
7225,70,1,0.99984
7225,80,1,0.99994
7225,90,1,0.99997
7225,100,1,0.99994
7225,200,1,0.9999
7225,300,1,0.99994
7225,400,1,0.99987
7225,500,1,0.9999
7225,600,1,0.99994
7225,700,1,0.9999
7225,800,1,0.99994
7225,900,1,0.99994
7225,1000,1,0.99997
